Nome,Titulo,Texto,Data,Review
Anne Naus,"Mais barato, bom e bonito. Amei minha escolha.","Apesar de oferecer 4GB, só com sistema ele consome quase 2GB. Ainda assim, cabe muita coisa. Considerando um livro de 738 páginas que tem em média 2Mb, cabem MIL iguais a esse. Mas não precisa fazer o download. Mantenha arquivado na biblioteca online e baixe quando for ler. Mantenha as prioridades baixadas... tipo, uns 500? Nunca vai gastar memória ;) ● As cores de tela não são coloridas em momento algum. Variam em tons de cinza, dependendo da cor original ● A resolução para imagens não é muito boa. Mas para textos é limpíssima, como em HD (para ter noção) ● A iluminação interna é perfeita. Vem com 24 ""volumes"". Já no 5° ""volume"" se pode ler confortavelmente em um ambiente totalmente sem luz ● Ao sol, em 0 ""volumes"", parece uma folha de papel. Não reflete nada ● Esse ""dura semanas"", significa 2 semanas, estando em modo avião e sempre com a tela hibernando ou desligada, quando não em uso. Mas usei todos os dias ● Recarrega super rápido na tomada, com carregador comum. NÃO COMPREM A FONTE DO CARREGADOR À PARTE! Todos temos smartphones. É a mesma fonte. Recarrega de 0% à 100% em 2h e meia na tomada, com a fonte da Samsung (que utilizei. Ou seja: qualquer uma serve) e o cabo que vem na caixa do Kindle ● Me irrita um pouco a velocidade dos toques de comando, como quando procuro algum livro, e demora a subir a página. Mas durante a leitura, virando as folhas, não tenho queixas ● As notas, o dicionário, a procura por palavras funcionam muito bem ● Mesmo com o Whispersync habilitado (que sincroniza a página que parou em qualquer lugar que abrir: Kindle, celular, computador) as páginas não estão sendo atualizadas, nem onde eu parei nele, abrindo no celular, nem onde parei no celular, abrindo no Kindle - mas continua perfeito entre o pc e o celular, logo, problema do Kindle ATUALIZAÇÃO: LIGUEI PARA A AMAZON E ELES RESOLVERAM, ATUALIZANDO MEU SISTEMA. ATENDIMENTO PERFEITO! ● A atualização das notas e marcações com o Whispersync ligado está funcionando normalmente ● A atualização da biblioteca, quando enviamos arquivos para o aparelho está super rápida ● A recepção de Wi-fi dele é excelente. ● É levíssimo, logo não cansa quando segurado, mas, para digitar, precisa das duas mãos, sim. Para avancar e voltar as páginas, não, quando deslizamos para os lados. Mas deslizando demora mais para executar o comando, do que quando clicamos nas laterais. Clicando, precisa das duas mãos, sim. ● Já existe capa para ele. Da empresa WB. Encaixa num clique. ● Não recomendo as películas. Elas fazem refletir a tela. ● Já falei que é lindo?",Avaliado no Brasil em 27 de maio de 2019,"5,0 de 5 estrelas"
SoldaCosta,Onde está meus 90 dias de leitura grátis?,Adorei. Só não ganhei os 90 dias de leitura grátis. Fica aparecendo só 30 dias.,Avaliado no Brasil em 30 de abril de 2019,"4,0 de 5 estrelas"
Amanda s,Bom produto,Maravilhoso!Mas ainda estou procurando os 4gb de memória,Avaliado no Brasil em 3 de maio de 2019,"4,0 de 5 estrelas"
Allison Silva Resende,"Triste compra uma coisa que se diz 4gb e so vim 2,75gb","Produto é o que é, gostei da experiencia é a primeira vez q uso o kindle.Mas achei uma sacanagem compra um produto de 4gb e só ter 2,75gb, preferia pagar um poco mais em outro produto se essa informação fosse passada 150 reais de diferença é pouco.Melhor compra o outro que é aprova de água e vem com 8 gb bom pelo que vi vai vim mesmo gb :S tristetem como trocar o produto?",Avaliado no Brasil em 6 de maio de 2019,"1,0 de 5 estrelas"
Laura Marodin De Bacco,Maravilhoso,"Não posso comparar com as outras geração pois esse é meu primeiro Kindle, mas como uma pessoa que gosta muito de ler e lia muito pelo celular, o Kindle tem uma enorme diferença, meu maior medo era que os olhos doessem, o que não aconteceu. Ele é maravilhoso. Só não recebi os 90 dias de kindle unlimited!",Avaliado no Brasil em 4 de maio de 2019,"5,0 de 5 estrelas"
Diego Camilo,ÚNICO DEFEITO NESSE MOMENTO A FALTA DE CAPAS PARA ESSE APARELHO,"Aparelho excelente, porém o site está com falta de capas para o aparelho, acredito ser um probleminha que incomoda para os mais perfeccionistas, um site tão grande deve se atentar a esses detalhes também não ganhei os 90 dias prometidos de kindle ulimited",Avaliado no Brasil em 3 de maio de 2019,"4,0 de 5 estrelas"
Alessandro Roberto dos Santos,Ótimo!,"Que bom que colocaram iluminação nesse novo Kindle de 10ª geração pois prefiro o design dele ao paperwhite! Agora ficou perfeito, ótimo custo benefício, é o suficiente pra quem gosta de ler a qualquer hora do dia ou da noite e em qualquer lugar!",Avaliado no Brasil em 2 de maio de 2019,"5,0 de 5 estrelas"
Marcelo Campos Galuppo,O melhor produto da Amazon é a Amazon: compre um kindle e experimente,"A Amazon é fenomenal, e sou fã dela: produtos melhores, mais baratos, entregues mais rapidamente e com serviço de atendimento ao cliente impecável. Mas nenhum produto que ela vende se compara à própria Amazon, em especial seu leitor de livros, o Kindle. Este, o normalzinho, já na décima geração, pesa menos que um livro de bolso e cabem milhares de livros nele. Se você nunca experimentou um leitor de livros, pode pensar que a experiência é ruim. Engano: é quase idêntico a ler um livro impresso, com muitas vantagens, como a armazenagem de uma grande número de volumes e um dicionário espetacular (é só colocar o cursor sobre a palavra desconhecida, em português, inglês ou qualquer outra língua, que o significado aparece). Você pode escrever notas e sublinhar o que lê. E agora este modelo, (quase 100 reais mais barato que o Paper White, e quase idêntico à geração anterior do Paper White, que eu possuo) vem com luz embutida (não é uma  tela luminosa, o que tornaria a leitura desconfortável, é uma lanterninha embutida,  muito boa, que permite iluminar a tela). Um problema é que ele não vem com capa ou carregador (vem apenas com o cabo). No caso do carregador, basta usar qualquer carregador USB (como de celular) ou plugá-lo no computador. No caso da capa, apesar de cara, vale à pena comprar para proteger o investimento. Se for comprar, compre o produto original (as ""genéricas"" são ruins, e você vai se arrepender). Outro problema é que, quando dá defeito, não tem conserto (comprei este para substituir o da minha mulher, depois de quatro anos de uso, e eu também tive um que deu defeito, depois de seis anos de uso, que foi substituído pelo Paper White de que falei acima). Mas acho que o investimento vale à pena, pela portabilidade, facilidade de comprar livros (você também pode converter livros em PDF para o formato kindle e transferi-los para o leitor) e a qualidade da experiência de leitura (que só não é boa se houver imagens, ou seja, é excelente com palavras, ruim com imagens).",Avaliado no Brasil em 12 de maio de 2019,"5,0 de 5 estrelas"
Laiane Saccol,Péssimo.,"Eu possuía o kindle 7ª geração e vendi a fim de pegar p 10º (em função da iluminação embutida). Porém, estou amargamente arrependida. A bateria do meu anterior durava até 1 mês e meio, o 10ª geração com uma leitura de duas horas por dia (wifi desligado e iluminação no 12) dura em torno de 5 dias. Pedi troca do produto, comprei outro e pasmem! Veio da mesma forma. Eu mexo 5 minutos e a bateria já desce 5%! Aparentemente é a qualidade do aparelho que é inferior. Uma pena, sempre defendi os produtos da Amazon mas esse kindle novo deixou muuuuito a desejar.  O diferencial do kindle é justamente a bateria e a desse é péssima. Mega insatisfeita.",Avaliado no Brasil em 14 de agosto de 2019,"1,0 de 5 estrelas"
Viviane Lutes,Super recomendo,"Maravilhoso,  anatômico e a luz realmente faz diferença na leitura. Não pesa as vistas. Perfeito",Avaliado no Brasil em 30 de abril de 2019,"5,0 de 5 estrelas"
